day,apm,num,grade,class,sj,teach
星期五,下午,7,四,1,思品,n56
星期五,下午,7,四,2,音乐,n60
星期五,下午,7,四,3,体育,n51
星期五,下午,7,四,4,科学,n55
星期五,下午,7,五,1,语文,n18
星期五,下午,7,六,1,美术,n32
星期五,下午,7,七,1,数学,n22
星期五,下午,7,八,1,物理,n64
星期五,下午,8,四,1,音乐,n60
星期五,下午,8,四,2,体育,n51
星期五,下午,8,四,3,书法,n40
星期五,下午,8,四,4,劳技,n30
星期五,下午,8,五,1,体育,n67
星期五,下午,8,七,1,物理,n64
星期五,下午,8,八,1,历史,n33
星期五,下午,9,八,1,化学,
