day,apm,num,grade,class,sj,teach
星期三,下午,8,七,1,信息,n54
星期三,下午,8,八,1,生物,n29
星期三,下午,9,七,1,数/物,
星期三,下午,9,八,1,美术,n32
星期四,上午,1,一,1,语文,n1
星期四,上午,1,一,2,语文,n2
星期四,上午,1,一,3,语文,n25
星期四,上午,1,一,4,语文,n4
星期四,上午,1,一,5,英语,n5
星期四,上午,1,一,6,数学,n6
星期四,上午,1,二,1,语文,n7
星期四,上午,1,二,2,数学,n10
星期四,上午,1,二,3,数学,n11
星期四,上午,1,二,4,语文,n9
星期四,上午,1,二,5,语文,n8
星期四,上午,1,三,1,数学,n50
星期四,上午,1,三,2,数学,n13
星期四,上午,1,三,3,语文,n14
星期四,上午,1,三,4,语文,n15
星期四,上午,1,四,1,语文,n16
星期四,上午,1,四,2,英语,n44
星期四,上午,1,四,3,语文,n18
星期四,上午,1,四,4,语文,n17
星期四,上午,1,五,1,数学,n20
星期四,上午,1,六,1,语文,n21
星期四,上午,1,七,1,数学,n22
星期四,上午,1,八,1,英语,n23
星期四,上午,2,一,1,语文,n1
星期四,上午,2,一,2,语文,n2
星期四,上午,2,一,3,数学,n24
星期四,上午,2,一,4,科学,n36
星期四,上午,2,一,5,语文,n26
星期四,上午,2,一,6,语文,n4
星期四,上午,2,二,1,语文,n7
星期四,上午,2,二,2,语文,n8
星期四,上午,2,二,3,语文,n9
星期四,上午,2,二,4,数学,n10
星期四,上午,2,二,5,数学,n11
星期四,上午,2,三,1,美术,n30
星期四,上午,2,三,2,信息,n54
星期四,上午,2,三,3,语文,n14
星期四,上午,2,三,4,语文,n15
星期四,上午,2,四,1,语文,n16
星期四,上午,2,四,2,科学,n55
星期四,上午,2,四,3,语文,n18
星期四,上午,2,四,4,语文,n17
星期四,上午,2,五,1,数学,n20
星期四,上午,2,六,1,语文,n21
星期四,上午,2,七,1,语文,n47
星期四,上午,2,八,1,数学,n34
星期四,上午,3,五,1,英语,n45
星期四,上午,3,六,1,数学,n46
星期四,上午,3,七,1,物理,n64
星期四,上午,3,八,1,数学,n34
星期四,上午,4,一,1,美术,n49
星期四,上午,4,一,2,体育,n48
星期四,上午,4,一,3,语文,n25
星期四,上午,4,一,4,数学,n37
星期四,上午,4,一,5,音乐,n35
星期四,上午,4,一,6,英语,n5
星期四,上午,4,二,1,体育,n39
星期四,上午,4,二,2,语文,n8
星期四,上午,4,二,3,英语,n27
星期四,上午,4,二,4,语文,n9
星期四,上午,4,二,5,科学,n29
星期四,上午,4,三,1,语文,n15
